B,B.07.03,53.05,Thô,2.50,6,3,Ðông B?c,1234#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
B,B.07.03,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
A,A.10.10,68.55,Hoàn thi?n CB,3.00,6,3,Tây Nam,1567#,Mi?n phí 5 nãm
A,A.10.10,83.00,Hoàn thi?n Full,3.25,5,1,Tây Nam,1567#,Mi?n phí 5 nãm
A,A.10.10,83.00,Hoàn thi?n Full,3.25,5,1,Tây Nam,1567#,Mi?n phí 5 nãm
A,A.10.10,83.00,Hoàn thi?n Full,3.25,5,1,Tây Nam,1567#,Mi?n phí 5 nãm
A,A.10.10,83.00,Hoàn thi?n Full,3.25,5,1,Tây Nam,1567#,Mi?n phí 5 nãm
A,A.10.10,83.00,Hoàn thi?n Full,3.25,5,1,Tây Nam,1598#,Mi?n phí 5 nãm
